X,Y,mvmax
0.7973580669,0.0823290219,5125.4657912653
0.2362618549,0.1379239556,5125.4657912653
0.9275196936,0.8760572531,5125.4657912653
0.9398325657,0.6195981652,5125.4657912653
0.4573361992,0.5725136756,5125.4657912653
0.7946508217,0.3191715919,5125.4657912653
0.9362709677,0.7871973823,5125.4657912653
0.6207357965,0.8149092561,5125.4657912653
0.0341039637,0.0297626888,5125.4657912653
0.0295825341,0.8737455706,5125.4657912653
0.1271693610,0.8751722516,5125.4657912653
0.1367702412,0.3333386066,5125.4657912653
0.2165631143,0.8504638483,5125.4657912653
0.0694139855,0.8334187981,5125.4657912653
0.6042599004,0.8931127101,5125.4657912653
0.3349964849,0.1743886468,5125.4657912653
0.2129344878,0.5234879034,5125.4657912653
0.7097884345,0.1838460296,5125.4657912653
0.3549727296,0.3778686370,5125.4657912653
0.3301437059,0.4483047004,5125.4657912653
0.1011564802,0.0062513119,5125.4657912653
0.5250019426,0.0656810793,5125.4657912653
0.2072396875,0.1226899619,5125.4657912653
0.2780540332,0.3610595001,5125.4657912653
0.2954625632,0.5849250830,5125.4657912653
0.1715489355,0.8304728193,5125.4657912653
0.3538335676,0.3953313199,5125.4657912653
0.7569665436,0.7640801556,5125.4657912653
0.3617337694,0.2727798677,5125.4657912653
0.3877860670,0.0862607350,5125.4657912653
0.5374291175,0.2957820130,5125.4657912653
0.0920014693,0.2594538418,5125.4657912653
0.9196863067,0.9118602351,5125.4657912653
0.8488346931,0.8581968683,5125.4657912653
0.6770261698,0.5498795699,5125.4657912653
0.8424374595,0.3146103641,5125.4657912653
0.6672654037,0.1964330335,5125.4657912653
0.8928671270,0.9558479579,5125.4657912653
0.9757756621,0.8185801575,5125.4657912653
0.4232631530,0.1334207865,5125.4657912653
0.1597838740,0.8533617344,5125.4657912653
0.6753129651,0.3698029606,5125.4657912653
0.2357090896,0.9322304969,5125.4657912653
0.6707458038,0.1266225440,5125.4657912653
0.6072027629,0.3032623836,5125.4657912653
0.5161403900,0.1227061207,5125.4657912653
0.7537715936,0.2224065656,5125.4657912653
0.6954116794,0.3669540558,5125.4657912653
0.2667924441,0.4284487379,5125.4657912653
0.8181157921,0.5343818692,5125.4657912653
0.8638147446,0.5108455088,5125.4657912653
0.3028163259,0.9850851217,5125.4657912653
0.4178316835,0.7007633829,5125.4657912653
0.5293914810,0.8984055864,5125.4657912653
0.6292529840,0.0632640924,5125.4657912653
0.6024328409,0.3543008241,5125.4657912653
0.8648575468,0.5134902112,5125.4657912653
0.7768837837,0.0423194296,5125.4657912653
0.3874046651,0.8375903590,5125.4657912653
0.4188869326,0.2903862173,5125.4657912653
0.2224087447,0.6450735065,5125.4657912653
0.9022251453,0.6034436435,5125.4657912653
0.2594077838,0.5561558210,5125.4657912653
0.1239048217,0.4735201064,5125.4657912653
0.4719773822,0.3146220462,5125.4657912653
0.9174336140,0.5819237599,5125.4657912653
0.6915323234,0.0935743759,5125.4657912653
0.1189222073,0.4319341471,5125.4657912653
0.5013701892,0.2666536409,5125.4657912653
0.8520137111,0.8681447258,5125.4657912653
0.6731095501,0.7443420155,5125.4657912653
0.6669895208,0.2424981334,5125.4657912653
0.9921526537,0.4615726673,5125.4657912653
0.2215232936,0.7418968472,5125.4657912653
0.6562665277,0.5344279891,5125.4657912653
0.8445757142,0.0120533533,5125.4657912653
0.4311240113,0.4361247999,5125.4657912653
0.4947968243,0.7549410742,5125.4657912653
0.1549662549,0.4044509226,5125.4657912653
0.6710516750,0.7718733849,5125.4657912653
0.3879623474,0.3969908925,5125.4657912653
0.7820728713,0.9215651409,5125.4657912653
0.0200833552,0.0402430393,5125.4657912653
0.5866373616,0.8316376318,5125.4657912653
0.3688261582,0.7333941098,5125.4657912653
0.8471954573,0.1959687592,5125.4657912653
0.9434920094,0.8784278111,5125.4657912653
0.8448468637,0.4032145214,5125.4657912653
0.7571206104,0.3462526735,5125.4657912653
0.5797414065,0.4449265913,5125.4657912653
0.7589048707,0.1308538631,5125.4657912653
0.9030869644,0.4952340606,5125.4657912653
0.6211624005,0.9289236362,5125.4657912653
0.9399418443,0.6233114212,5125.4657912653
0.0354654112,0.8809768118,5125.4657912653
0.7366442865,0.5425833973,5125.4657912653
0.8456301580,0.5555472651,5125.4657912653
0.8270201351,0.6189235913,5125.4657912653
0.0724545284,0.2871009352,5125.4657912653
0.6471285549,0.3220591649,5125.4657912653
